year,state,total_revenue,instruction_expense,property_expense,total_edu_expense,per_pupil_expense
2009,American Samoa,89410594.6070095,36623637.132378094,2127342.654623678,79952590.1596601,4260.088730615232
2009,Guam,294025246.177065,152037616.4562057,25506445.590135965,289200875.8036889,7808.671045087794
2009,Northern Mariana Islands,73318546.8469355,32023770.526431337,1328687.8897113318,71810237.14877154,6149.608128201662
2009,Puerto Rico,3963245493.9163456,1944888519.2424386,103195190.1417471,4462850698.906827,6838.740128742361
2009,Virgin Islands,271937847.3409948,130522538.39042217,1348266.6220838362,232283072.05400467,9796.637871322895
2010,Alabama,7968487180.149806,4295221398.302193,82377925.23745276,8272601546.096254,9521.868497083318
2010,Alaska,2573596087.9221253,1271916334.8385735,58655066.55807682,2557531624.8187485,18345.91424221301
2010,Arizona,11083669909.542591,5238575884.526378,358968729.8793429,10434431645.732895,9086.004443812599
2010,Arkansas,5679881966.863548,2831807787.7144127,301268907.8233481,5672496301.111548,10435.421942069926
2010,California,70586028254.45561,38585455252.2832,820044263.9600424,73082745085.41966,10158.05390817038
2010,Colorado,9743773053.639528,4699271527.399324,386788820.7261437,9355678883.912514,9932.417213926698
2010,Connecticut,10891634120.453568,6184576429.874628,209498432.5319505,10742302533.539127,17191.314767766078
2010,Delaware,1963701182.0349221,1048451484.0316662,14828998.739713652,1943294839.3528862,13664.77833675753
2010,District of Columbia,1894156607.942611,795953683.5090573,49549591.3185512,1713879565.8867264,22519.642752320502
2010,Florida,28679917203.275646,15532275943.959913,802969638.5845379,29528368188.172184,9462.432489819128
2010,Georgia,19631263487.819336,10828703692.014294,318799104.6911986,19345008193.578262,10230.69791704883
2010,Hawaii,2823050332.310755,1448847002.0081353,9946128.220269104,2430219768.8021975,13386.309636056792
2010,Idaho,2446275410.061163,1320552176.7934475,87237353.75536558,2438138168.29264,7809.230954433723
2010,Illinois,31108211116.664463,16270635051.172506,815002591.4358559,30194881837.881256,13771.543016472833
2010,Indiana,15014960314.14829,6421892786.040447,598163638.1014235,12129198162.334984,10424.415274058041
2010,Iowa,6098949251.488723,3252393584.177844,180603837.73382524,6206490079.606885,11002.2653446821
2010,Kansas,6039437228.873243,3170017667.657304,198481726.4388368,5646678751.335497,11529.484742451481
2010,Kentucky,7565197811.032988,3977895696.8217382,217687313.18411785,7635085967.072623,10789.836652052685
2010,Louisiana,9043048884.56196,4764075250.009548,166066834.88979897,9068394056.76428,11840.973447187876
2010,Maine,2905517517.223117,1572095671.6827557,56067544.19649998,2828012993.468618,14659.781125032101
2010,Maryland,14696665776.031427,8130038809.057096,145869203.94860494,14369172782.74634,15706.515252962541
2010,Massachusetts,17137640019.26269,10174075141.484472,330225200.499014,16347184355.740257,16355.908665663865
2010,Michigan,21354234581.29588,10911890509.391275,443121118.21433485,20860216112.96961,12231.710161609863
2010,Minnesota,11710270262.851511,6501551604.200242,317056503.6962202,11367563344.532331,11807.953443152217
2010,Mississippi,4891014535.81723,2582817789.173189,151917082.94843525,4739149135.779112,8592.905716880066
2010,Missouri,11179595512.075155,5920038048.879769,288475575.8224309,11090708466.810831,10695.179307150456
2010,Montana,1778966313.9582078,992567884.3716476,43529564.692124955,1787986992.7267034,11581.216082107348
2010,Nebraska,4065785613.9101925,2343034936.6652513,158616327.75587463,3963529137.73521,12370.394178559634
2010,Nevada,4743889338.968452,2355240105.347617,59392821.50157757,4400747934.630838,9335.85580768243
2010,New Hampshire,3092893468.3092875,1839545297.6554234,60352444.456194736,2989478267.3606873,14250.33307498991
2010,New Jersey,28459155759.635143,16005769620.245674,175905921.06231886,28100537646.064655,19163.7096754962
2010,New Mexico,4139388988.1872315,2033596069.7527146,31056388.046336718,4174656743.1456094,10103.020568110944
2010,New York,62899118279.287125,38591335259.78385,721434471.9034193,61103371070.49998,21321.016605826026
2010,North Carolina,14371150030.493996,8410292629.511341,224999698.7418278,14628043335.081818,9024.367102946033
2010,North Dakota,1382490010.7034066,636197102.3698224,70997118.56650585,1262028350.442744,10851.473992919251
2010,Ohio,25018035480.569374,12461506484.821926,598508186.4342004,25024235276.903107,12555.306201159334
2010,Oklahoma,6273534235.906933,3290445268.88447,143855874.1418718,6163104350.05234,8541.174377224199
2010,Oregon,6836564945.22979,3475191307.628549,53255687.22950526,6602739884.345338,10908.70866658106
